period,hs_code,price_usd_per_kg,is_imputed,robust_price_raw_usd_per_kg,naive_price_usd_per_kg,n_destinations,total_qty_kg,total_fob_usd
2019-01-01,130232,1.3219,False,1.3219,1.3013,69,41163321.0,53567607.71
2019-02-01,130232,1.3023,False,1.3023,1.2085,60,48766488.0,58935128.33
2019-03-01,130232,1.3305,False,1.3305,1.2984,57,45993319.0,59719505.74
2019-04-01,130232,1.3257,False,1.3257,1.2467,69,43838714.0,54651578.93
2019-05-01,130232,1.385,False,1.385,1.224,58,47166565.0,57734202.53
2019-06-01,130232,1.706,False,1.706,1.6201,56,17038345.0,27604333.69
2019-07-01,130232,1.6601,False,1.6601,1.5989,59,18574656.456,29699813.56
2019-08-01,130232,1.6194,False,1.6194,1.5511,57,18570887.0,28805825.16
2019-09-01,130232,1.6475,False,1.6475,1.5545,62,18398581.0,28600617.99
2019-10-01,130232,1.5565,False,1.5565,1.54,61,17725740.0,27297042.5
2019-11-01,130232,1.5774,False,1.5774,1.5184,60,17766097.0,26976149.82
2019-12-01,130232,1.5489,False,1.5489,1.5041,56,17082357.0,25693155.65
2020-01-01,130232,1.5109,False,1.5109,1.4174,57,20968179.0,29719350.61
2020-02-01,130232,1.4994,False,1.4994,1.4376,60,16566935.0,23817256.77
2020-03-01,130232,1.244,False,1.244,1.2767,54,14773199.0,18860765.05
2020-04-01,130232,1.2597,False,1.2597,1.2858,37,9409848.0,12099500.0
2020-05-01,130232,1.2259,False,1.2259,1.2084,54,18211860.0,22006344.93
2020-06-01,130232,1.1955,False,1.1955,1.2279,61,14424549.0,17711206.38
2020-07-01,130232,1.3047,False,1.3047,1.2876,60,13148413.0,16929700.81
2020-08-01,130232,1.2731,False,1.2731,1.3076,58,11020554.66,14410388.2
2020-09-01,130232,1.1966,False,1.1966,1.2674,55,13126670.0,16636244.9
2020-10-01,130232,1.1457,False,1.1457,1.2861,53,12989920.0,16706489.01
2020-11-01,130232,1.2134,False,1.2134,1.2552,56,10531165.327,13218607.52
2020-12-01,130232,1.2061,False,1.2061,1.303,59,15162085.0,19756725.22
2021-01-01,130232,1.2377,False,1.2377,1.2418,58,15049535.0,18688520.52
2021-02-01,130232,1.166,False,1.166,1.2623,68,14908152.0,18818807.86
2021-03-01,130232,1.2179,False,1.2179,1.2703,60,18934477.0,24052783.65
2021-04-01,130232,1.1733,False,1.1733,1.2307,62,17574652.0,21628770.4
2021-05-01,130232,1.2288,False,1.2288,1.2525,56,18672961.402,23387723.53
2021-06-01,130232,1.2532,False,1.2532,1.2284,53,15015899.0,18445054.73
2021-07-01,130232,1.2646,False,1.2646,1.2891,57,14014608.0,18065794.3
2021-08-01,130232,1.2558,False,1.2558,1.3153,61,15045009.373,19789227.25
2021-09-01,130232,1.4877,False,1.4877,1.4352,57,16102952.0,23111445.08
2021-10-01,130232,1.672,True,7.1722,7.1722,58,4759290.396,34134345.51
2021-11-01,130232,1.8563,False,1.8563,1.7512,53,14655475.0,25664883.12
2021-12-01,130232,1.9855,False,1.9855,1.8935,58,18343537.0,34733354.51
2022-01-01,130232,1.9264,False,1.9264,1.8861,62,17744658.0,33468017.15
2022-02-01,130232,1.9016,False,1.9016,1.8915,59,18544827.0,35077030.3
2022-03-01,130232,1.9447,False,1.9447,1.951,61,19348561.0,37749888.13
2022-04-01,130232,1.977,False,1.977,2.0124,58,17962674.0,36148977.83
2022-05-01,130232,2.1686,False,2.1686,2.0798,55,21940317.0,45631114.71
2022-06-01,130232,2.071,False,2.071,2.0459,56,23240665.0,47547769.85
2022-07-01,130232,2.0662,False,2.0662,1.9783,56,18014671.0,35639123.92
2022-08-01,130232,1.9306,False,1.9306,1.8848,61,17724818.0,33408407.73
2022-09-01,130232,1.9108,False,1.9108,1.856,60,17149300.0,31828854.55
2022-10-01,130232,1.823,False,1.823,1.779,57,17832397.0,31723878.38
2022-11-01,130232,1.9598,False,1.9598,1.8196,60,16954806.349,30851438.58
2022-12-01,130232,1.934,False,1.934,1.8699,66,19432491.0,36336589.54
2023-01-01,130232,1.9565,False,1.9565,1.9437,55,14199787.0,27600517.84
2023-02-01,130232,1.8834,False,1.8834,1.9216,53,16078133.094,30896043.26
2023-03-01,130232,1.838,False,1.838,1.8451,61,15806533.0,29164765.07
2023-04-01,130232,1.7885,False,1.7885,1.8694,54,15043043.0,28121769.87
2023-05-01,130232,1.7971,False,1.7971,1.8402,57,11975827.0,22037646.02
2023-06-01,130232,1.9665,False,1.9665,1.9071,58,11016935.0,21010721.25
2023-07-01,130232,1.924,False,1.924,1.9007,61,12745227.719,24224578.4
2023-08-01,130232,1.9549,False,1.9549,1.909,57,14959755.393,28558798.89
2023-09-01,130232,2.091,False,2.091,2.0461,64,15006485.0,30705456.61
2023-10-01,130232,1.9996,False,1.9996,1.9286,58,15178455.0,29273221.52
2023-11-01,130232,1.91,False,1.91,1.891,57,11169335.256,21121307.59
2023-12-01,130232,1.8693,False,1.8693,1.8159,67,16174304.0,29370510.96
2024-01-01,130232,1.8164,False,1.8164,1.7853,64,17088979.0,30508832.98
2024-02-01,130232,1.7411,False,1.7411,1.774,61,19324916.103,34283306.81
2024-03-01,130232,1.647,False,1.647,1.7596,64,21232872.0,37361956.24
2024-04-01,130232,1.8272,False,1.8272,1.7948,56,17351661.0,31143095.97
2024-05-01,130232,1.7472,False,1.7472,1.7801,62,18085935.0,32194262.23
2024-06-01,130232,1.7754,False,1.7754,1.8052,60,14522325.0,26216361.71
2024-07-01,130232,1.7805,False,1.7805,1.8225,57,14244408.0,25959798.12
2024-08-01,130232,1.7893,False,1.7893,1.8159,61,12317931.0,22367953.29
2024-09-01,130232,1.8241,False,1.8241,1.8062,64,14220642.555,25685651.7
2024-10-01,130232,1.7594,False,1.7594,1.8117,61,15196164.0,27531221.75
2024-11-01,130232,1.7657,False,1.7657,1.8209,63,12951579.0,23583281.09
2024-12-01,130232,1.6502,False,1.6502,1.7084,62,21629548.0,36950924.63
2019-01-01,130239,2.8567,False,2.8567,4.5774,9,28830.216,131968.84
2019-02-01,130239,2.1906,True,6.6091,22.9618,12,4374.06,100436.3
2019-03-01,130239,1.5246,False,1.5246,2.9918,13,50808.313,152009.26
2019-04-01,130239,2.6629,True,10.2801,22.7446,13,2436.27,55412.01
2019-05-01,130239,3.8013,True,5.0983,5.1385,11,15752.0,80942.22
2019-06-01,130239,4.9396,False,4.9396,8.1233,14,11469.962,93173.45
2019-07-01,130239,0.7238,False,0.7238,2.0241,13,30652.445,62043.19
2019-08-01,130239,0.9149,False,0.9149,1.6614,8,48217.0,80108.0
2019-09-01,130239,1.0996,True,4.7039,8.4365,9,1096.0,9246.39
2019-10-01,130239,1.2843,False,1.2843,5.3367,12,9832.0,52470.84
2019-11-01,130239,0.7284,False,0.7284,3.5387,11,28147.739,99607.57
2019-12-01,130239,0.7728,True,6.9003,15.5335,15,7075.482,109907.0
2020-01-01,130239,0.8172,True,6.5559,7.771,17,5417.432,42098.89
2020-02-01,130239,0.8617,True,5.3585,19.6729,17,2946.1,57958.41
2020-03-01,130239,0.9061,True,2.8246,6.2889,9,1187.096,7465.48
2020-04-01,130239,0.9505,True,6.115,12.8834,6,2601.0,33509.64
2020-05-01,130239,0.9949,True,7.9798,10.0761,8,5680.097,57233.18
2020-06-01,130239,1.0394,True,14.7724,13.4179,19,15793.444,211915.11
2020-07-01,130239,1.0838,True,5.3077,6.324,15,26351.214,166646.06
2020-08-01,130239,1.1282,False,1.1282,2.008,14,49326.069,99045.88
2020-09-01,130239,1.2838,False,1.2838,3.6931,17,32521.33,120104.66
2020-10-01,130239,2.6719,True,0.313,2.7407,13,13184.0,36133.91
2020-11-01,130239,4.06,False,4.06,7.888,16,19566.0,154336.57
2020-12-01,130239,3.4217,True,14.0732,16.9919,15,6764.0,114933.03
2021-01-01,130239,2.7834,False,2.7834,6.196,14,26948.655,166973.37
2021-02-01,130239,1.311,False,1.311,10.7349,12,10360.0,111214.04
2021-03-01,130239,1.616,True,8.7921,11.2498,16,24818.0,279196.34
2021-04-01,130239,1.921,True,14.1549,12.7489,13,14279.488,182048.18
2021-05-01,130239,2.2261,True,16.7675,13.5162,8,13677.0,184861.05
2021-06-01,130239,2.5311,True,18.8191,24.4501,12,3436.516,84023.2
2021-07-01,130239,2.8361,True,20.3281,23.9481,7,18052.0,432311.56
2021-08-01,130239,3.1411,True,0.4312,5.7675,14,29048.0,167533.87
2021-09-01,130239,3.4461,True,20.175,21.764,14,15834.0,344611.57
2021-10-01,130239,3.7511,True,9.9799,9.9799,13,14708.435,146788.67
2021-11-01,130239,4.0562,True,4.6539,6.5782,8,3697.0,24319.54
2021-12-01,130239,4.3612,True,7.4267,10.9082,12,43107.0,470218.99
2022-01-01,130239,4.6662,False,4.6662,6.8942,11,50538.0,348419.15
2022-02-01,130239,1.8006,False,1.8006,13.3306,12,51177.0,682220.43
2022-03-01,130239,2.3345,False,2.3345,5.2999,17,67739.0,359010.08
2022-04-01,130239,0.9079,False,0.9079,1.6305,15,150992.0,246198.11
2022-05-01,130239,0.7646,False,0.7646,5.1916,18,65521.0,340158.62
2022-06-01,130239,1.105,False,1.105,5.8379,14,87165.604,508862.84
2022-07-01,130239,0.8781,False,0.8781,3.3404,16,31129.878,103985.19
2022-08-01,130239,2.1902,False,2.1902,6.2076,12,121054.0,751449.02
2022-09-01,130239,0.864,False,0.864,1.1017,10,24061.0,26507.6
2022-10-01,130239,1.2438,False,1.2438,4.6013,10,21740.973,100037.5
2022-11-01,130239,1.539,True,11.0366,14.0216,9,2055.0,28814.42
2022-12-01,130239,1.8343,False,1.8343,2.2125,8,58293.0,128972.95
2023-01-01,130239,2.3875,False,2.3875,7.7821,12,34427.0,267915.33
2023-02-01,130239,2.5511,False,2.5511,15.6158,10,27264.0,425748.05
2023-03-01,130239,0.8198,False,0.8198,4.6289,16,80009.0,370356.35
2023-04-01,130239,0.7999,True,13.4536,18.7028,7,13485.0,252206.62
2023-05-01,130239,0.78,False,0.78,1.3276,18,810180.0,1075615.72
2023-06-01,130239,0.7926,False,0.7926,0.8459,14,959385.431,811573.72
2023-07-01,130239,0.7898,False,0.7898,0.9517,16,1132565.0,1077869.56
2023-08-01,130239,0.8292,False,0.8292,1.1682,15,1721409.647,2010953.96
2023-09-01,130239,0.7774,False,0.7774,1.0048,18,1513577.0,1520900.1
2023-10-01,130239,0.8177,False,0.8177,0.8605,19,1444483.224,1242943.5
2023-11-01,130239,0.8419,False,0.8419,1.1552,16,1079030.0,1246526.66
2023-12-01,130239,0.8785,False,0.8785,1.0858,20,1266011.0,1374672.88
2024-01-01,130239,0.9459,False,0.9459,1.1123,23,896476.0,997151.13
2024-02-01,130239,0.8796,False,0.8796,0.9637,20,1638540.0,1578996.07
2024-03-01,130239,0.8057,False,0.8057,1.0255,22,1456247.98,1493394.6
2024-04-01,130239,0.8085,False,0.8085,0.9159,20,1748836.0,1601768.03
2024-05-01,130239,0.8333,False,0.8333,0.9582,22,1995507.0,1912190.41
2024-06-01,130239,0.8624,False,0.8624,1.0647,20,1792437.218,1908414.58
2024-07-01,130239,0.9009,False,0.9009,1.0925,24,1731671.659,1891790.99
2024-08-01,130239,0.9055,False,0.9055,1.1026,17,1478611.0,1630253.23
2024-09-01,130239,0.9435,False,0.9435,1.0632,24,1186827.0,1261818.8
2024-10-01,130239,0.9244,False,0.9244,1.0994,24,1710197.178,1880144.41
2024-11-01,130239,0.9869,False,0.9869,1.1874,21,846067.189,1004596.75
2024-12-01,130239,0.9982,False,0.9982,1.3113,18,1385419.0,1816760.41
