dest_iso,dest_country,total_fob_usd,india_share_pct,realised_usd_per_kg,price_vs_portfolio_pct,recent_shift_pct,n_active_months,fta_status,world_import_usd,world_import_usd_last,india_share_of_market_pct,addressable_usd,pivot_score,shift_flag
JPN,Japan,40210038.0,1.92,2.7124,65.8,6.0,72,MFN,322245745.55,34934236.8,12.5,281965027.36,73.2,STABLE
FRA,France,28026532.84,1.34,1.9648,20.1,-24.8,72,MFN,1159700917.54,150066385.8,2.4,1131868095.52,69.5,FADING
CAN,Canada,81494744.28,3.89,1.7946,9.7,-14.0,72,MFN,782219694.26,113093514.72,10.4,700868846.06,68.4,STABLE
BRA,Brazil,46197743.73,2.21,1.8226,11.4,16.4,72,MFN,229387546.0,39199166.0,20.1,183280649.25,67.7,STABLE
DEU,Germany,265537496.46,12.69,1.6154,-1.2,36.2,72,MFN,5997575000.31,813257077.03,4.4,5733681700.3,67.5,SURGING
AUS,Australia,57167458.5,2.73,1.7046,4.2,-14.1,72,FTA,287982124.19,45425623.79,19.9,230673681.48,65.7,STABLE
ESP,Spain,12877103.66,0.62,1.5496,-5.3,59.8,72,MFN,634219936.62,94524813.11,2.0,621535537.89,65.5,SURGING
NGA,Nigeria,2408514.24,0.12,1.8568,13.5,92.8,53,MFN,13814354.9,5497632.7,17.4,11410657.15,65.2,SURGING
DNK,Denmark,16186894.89,0.77,1.6105,-1.5,54.8,68,MFN,285740421.28,28894987.7,5.7,269453217.27,62.5,SURGING
MYS,Malaysia,17090446.02,0.82,1.7227,5.3,21.9,72,MFN,102026228.87,17572997.72,16.8,84885822.42,60.8,SURGING
MEX,Mexico,26862506.14,1.28,1.6609,1.5,17.9,72,MFN,223493596.0,49299022.0,12.0,196674364.48,60.1,STABLE
OMN,Oman,8112320.08,0.39,2.3822,45.6,36.5,63,MFN,13560403.1,4361534.46,59.8,5451282.05,59.8,SURGING
CHE,Switzerland,5729495.52,0.27,1.3744,-16.0,100.3,61,MFN,290335661.6,32810101.12,2.0,284528948.37,58.9,SURGING
ARE,United Arab Emirates,23171732.24,1.11,1.7221,5.3,24.2,71,FTA,7268948.32,,100.0,0.0,56.2,SURGING
GBR,United Kingdom,42604628.68,2.04,1.4175,-13.3,33.2,72,MFN,596243019.59,75859783.98,7.1,553909765.2,55.7,SURGING
COL,Colombia,4664866.47,0.22,1.7261,5.5,3.3,63,MFN,40939722.72,1886328.52,11.4,36272594.33,55.0,STABLE
PER,Peru,3576064.83,0.17,1.7807,8.9,37.1,55,MFN,8377839.49,3747540.41,42.7,4800502.03,54.1,SURGING
SAU,Saudi Arabia,9847849.62,0.47,1.7823,9.0,-6.7,64,MFN,31979492.8,5184319.07,30.8,22129809.02,53.8,STABLE
THA,Thailand,25803123.12,1.23,1.5272,-6.6,-3.4,72,MFN,418194525.21,59616232.55,6.2,392266464.65,53.4,STABLE
ZAF,South Africa,21594267.72,1.03,1.4718,-10.0,57.7,72,MFN,188019328.05,30262871.29,11.5,166397105.32,53.4,SURGING
BEL,Belgium,10452477.36,0.5,1.6819,2.8,10.4,70,MFN,63354898.73,6858378.66,16.5,52901340.44,52.3,STABLE
USA,USA,723588245.71,34.57,1.6601,1.5,-6.4,72,TARIFF_STRESSED,1670097322.0,188677601.0,43.3,946945181.57,51.7,STABLE
CHN,China,257390101.9,12.3,1.3257,-19.0,62.6,72,MFN,444209668.0,70843042.0,57.9,187012270.23,51.4,SURGING
NZL,New Zealand,2059425.4,0.1,1.7572,7.4,-22.8,59,MFN,37918120.59,4271003.26,5.4,35870542.08,50.0,FADING
